Country,CompanyType,YearsInOperation,AnnualRevenue,CompanySize,MainLogisticsChallenges,GCCShipmentFrequency,CurrentWarehousingSolution,CurrentDeliveryModel,PainPointsCurrentModel,TechAdoption,SustainabilityImportance,CarbonTracking,EcoPayExtra,EcoFeaturesMatterMost,LikelihoodToUseAIPlatform,MotivatorsToSwitch,ConcernsSwitching,WillingnessToSpendPerMonth,PilotProgramInterest
UAE,SME Manufacturer,Less than 1,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Monthly,Third-party logistics (3PL),In-house,"Delays at borders, Poor visibility/tracking",Basic software (inventory/ERP),1,No,Yes,Green packaging,5,Flexible contract terms,"Integration with existing systems, None",Less than 500,Yes
UAE,Other,8+,"100,000 – 500,000",11–50,"Carbon emissions / sustainability, Last-mile delivery costs",Weekly,On-demand (pay as you go),No dedicated model,"Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,Planning to,Maybe,Green packaging,3,Flexible contract terms,Data security/privacy,"More than 10,000",Yes
Qatar,E-commerce Brand,1-3,"1,000,001 – 5,000,000",51–200,"Last-mile delivery costs, Other",Monthly,Own warehouse,Mix of both,"Difficult to scale, High cost, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,Yes,"Electric vehicles, Green packaging",3,Sustainability features,"Integration with existing systems, Price transparency","1,001 – 5,000",Maybe
UAE,E-commerce Brand,4-7,"1,000,001 – 5,000,000",51–200,"Managing cross-border compliance, Technology adoption",Rarely,Rented long-term,In-house,"Delays at borders, Difficult to scale, High cost",Basic software (inventory/ERP),2,Planning to,Maybe,"Electric vehicles, Solar-powered warehouses",2,"Faster deliveries, Lower costs",Price transparency,"1,001 – 5,000",No
UAE,Logistics Provider,4-7,"1,000,001 – 5,000,000",11–50,"Carbon emissions / sustainability, Managing cross-border compliance",Daily,Own warehouse,In-house,"Delays at borders, High cost",Manual (spreadsheets/phone/email),2,No,Yes,Green packaging,3,"Faster deliveries, Lower costs",Integration with existing systems,"500 – 1,000",Yes
Saudi Arabia,Other,8+,"100,000 – 500,000",11–50,"Last-mile delivery costs, Tracking shipments",Daily,Own warehouse,Mix of both,Difficult to scale,Manual (spreadsheets/phone/email),3,No,Maybe,"Green packaging, Solar-powered warehouses",5,"Faster deliveries, Lower costs","Integration with existing systems, Price transparency","5,001 – 10,000",Maybe
Kuwait,E-commerce Brand,1-3,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Other",Weekly,On-demand (pay as you go),Outsourced to 3PL,Lack of flexibility,"Automated (IoT, AI-driven, warehouse management systems)",1,No,Yes,"Carbon offset options, Green packaging",3,"Faster deliveries, Lower costs",Price transparency,"More than 10,000",No
Qatar,SME Manufacturer,4-7,"1,000,001 – 5,000,000",1–10,"Last-mile delivery costs, Other",Daily,On-demand (pay as you go),Mix of both,"Delays at borders, High cost",Basic software (inventory/ERP),1,Yes,Yes,"Green packaging, Solar-powered warehouses",1,"Flexible contract terms, Lower costs","Integration with existing systems, Price transparency",Less than 500,No
Oman,E-commerce Brand,4-7,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Own warehouse,Mix of both,High cost,Basic software (inventory/ERP),2,No,No,"Carbon offset options, Electric vehicles",2,"Faster deliveries, Flexible contract terms","Integration with existing systems, None","1,001 – 5,000",No
Qatar,SME Retailer,1-3,"100,000 – 500,000",1–10,"Other, Technology adoption",Rarely,Rented long-term,In-house,"Difficult to scale, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,No,"Green packaging, Solar-powered warehouses",3,Lower costs,"Data security/privacy, None","5,001 – 10,000",No
UAE,E-commerce Brand,1-3,"Above 5,000,000",51–200,"Finding flexible warehouse space, Last-mile delivery costs",Weekly,Third-party logistics (3PL),In-house,"Difficult to scale, High cost, Lack of flexibility",Basic software (inventory/ERP),3,No,Maybe,"Carbon offset options, Green packaging",2,"Better tracking/visibility, Faster deliveries",None,"1,001 – 5,000",Maybe
Saudi Arabia,E-commerce Brand,4-7,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Rented long-term,In-house,"High cost, Poor visibility/tracking",Basic software (inventory/ERP),3,No,No,Solar-powered warehouses,2,Better tracking/visibility,"Integration with existing systems, None","500 – 1,000",Yes
UAE,SME Manufacturer,4-7,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Tracking shipments",Weekly,Rented long-term,In-house,"Delays at borders, Environmental concerns, High cost","Automated (IoT, AI-driven, warehouse management systems)",2,No,Maybe,"Carbon offset options, Green packaging",3,"Lower costs, Sustainability features","Data security/privacy, Integration with existing systems","500 – 1,000",Maybe
Oman,E-commerce Brand,4-7,"Less than 100,000",More than 200,"Carbon emissions / sustainability, Tracking shipments",Weekly,Own warehouse,In-house,Lack of flexibility,Basic software (inventory/ERP),2,No,No,Electric vehicles,4,"Faster deliveries, Lower costs",None,"500 – 1,000",No
UAE,SME Retailer,4-7,"Less than 100,000",51–200,"Carbon emissions / sustainability, Technology adoption",Monthly,None,Mix of both,"Difficult to scale, Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),3,No,Yes,Green packaging,4,"Better tracking/visibility, Lower costs","Data security/privacy, Integration with existing systems","500 – 1,000",Yes
UAE,SME Retailer,4-7,"100,000 – 500,000",More than 200,"Finding flexible warehouse space, Tracking shipments",Weekly,Third-party logistics (3PL),Outsourced to 3PL,"High cost, Lack of flexibility",Basic software (inventory/ERP),3,Yes,No,Green packaging,3,"Flexible contract terms, Sustainability features","None, Reliability of new provider","5,001 – 10,000",Yes
UAE,SME Retailer,4-7,"1,000,001 – 5,000,000",11–50,"Other, Technology adoption",Weekly,Rented long-term,Mix of both,High cost,Manual (spreadsheets/phone/email),3,No,No,"Carbon offset options, Electric vehicles",5,"Faster deliveries, Lower costs",Data security/privacy,"1,001 – 5,000",No
Qatar,SME Retailer,4-7,"Less than 100,000",More than 200,"Last-mile delivery costs, Technology adoption",Monthly,Own warehouse,Outsourced to 3PL,"Difficult to scale, Environmental concerns",Manual (spreadsheets/phone/email),1,No,Maybe,Green packaging,4,"Better tracking/visibility, Flexible contract terms","Data security/privacy, None","500 – 1,000",Maybe
Saudi Arabia,SME Manufacturer,1-3,"100,000 – 500,000",51–200,"Managing cross-border compliance, Technology adoption",Weekly,None,In-house,"Environmental concerns, Lack of flexibility",Basic software (inventory/ERP),2,Planning to,Yes,"Electric vehicles, Green packaging",3,Faster deliveries,"Price transparency, Reliability of new provider","5,001 – 10,000",Yes
UAE,Logistics Provider,1-3,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Other",Weekly,On-demand (pay as you go),Outsourced to 3PL,Poor visibility/tracking,Manual (spreadsheets/phone/email),2,No,No,Solar-powered warehouses,4,Faster deliveries,"Data security/privacy, Reliability of new provider","500 – 1,000",Yes
Saudi Arabia,Other,1-3,"Less than 100,000",11–50,"Carbon emissions / sustainability, Managing cross-border compliance",Weekly,Own warehouse,Outsourced to 3PL,Environmental concerns,"Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,"Green packaging, Solar-powered warehouses",5,Faster deliveries,Data security/privacy,"500 – 1,000",Yes
Kuwait,SME Retailer,8+,"Less than 100,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Daily,On-demand (pay as you go),In-house,"High cost, Lack of flexibility",Manual (spreadsheets/phone/email),2,No,Yes,"Electric vehicles, Route optimization for less fuel",5,"Faster deliveries, Lower costs","Data security/privacy, Price transparency","1,001 – 5,000",Yes
Saudi Arabia,SME Manufacturer,4-7,"100,000 – 500,000",11–50,"Last-mile delivery costs, Technology adoption",Weekly,Third-party logistics (3PL),Mix of both,"Environmental concerns, High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",3,No,No,"Carbon offset options, Green packaging",1,"Flexible contract terms, Lower costs",Data security/privacy,Less than 500,Maybe
UAE,Other,4-7,"100,000 – 500,000",51–200,"Carbon emissions / sustainability, Last-mile delivery costs",Monthly,On-demand (pay as you go),Outsourced to 3PL,"High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",3,Planning to,No,"Route optimization for less fuel, Solar-powered warehouses",2,Flexible contract terms,Data security/privacy,"500 – 1,000",No
UAE,E-commerce Brand,4-7,"100,000 – 500,000",51–200,"Finding flexible warehouse space, Tracking shipments",Weekly,Own warehouse,In-house,"Difficult to scale, Environmental concerns, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",4,No,No,"Carbon offset options, Green packaging",3,Flexible contract terms,"Data security/privacy, Reliability of new provider","1,001 – 5,000",Maybe
Saudi Arabia,SME Retailer,8+,"500,001 – 1,000,000",More than 200,"Last-mile delivery costs, Technology adoption",Monthly,Third-party logistics (3PL),In-house,High cost,Manual (spreadsheets/phone/email),4,No,Yes,"Carbon offset options, Electric vehicles",5,Better tracking/visibility,"Data security/privacy, Reliability of new provider","More than 10,000",Maybe
Qatar,SME Retailer,1-3,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Other",Monthly,Own warehouse,Mix of both,"High cost, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),2,No,No,"Green packaging, Solar-powered warehouses",5,Lower costs,Data security/privacy,"5,001 – 10,000",No
UAE,SME Retailer,1-3,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Technology adoption",Weekly,Own warehouse,Outsourced to 3PL,"High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",3,No,Yes,Route optimization for less fuel,3,"Flexible contract terms, Sustainability features","Integration with existing systems, None","More than 10,000",Maybe
UAE,E-commerce Brand,4-7,"500,001 – 1,000,000",51–200,"Finding flexible warehouse space, Other",Monthly,On-demand (pay as you go),Mix of both,"High cost, Lack of flexibility, Poor visibility/tracking","Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,"Electric vehicles, Green packaging",2,Sustainability features,Data security/privacy,"1,001 – 5,000",Maybe
UAE,E-commerce Brand,8+,"1,000,001 – 5,000,000",1–10,"Finding flexible warehouse space, Tracking shipments",Rarely,Third-party logistics (3PL),Mix of both,"High cost, Lack of flexibility, Poor visibility/tracking",Manual (spreadsheets/phone/email),1,No,Yes,Green packaging,4,Lower costs,None,"500 – 1,000",Maybe
Saudi Arabia,SME Manufacturer,1-3,"Less than 100,000",51–200,"Carbon emissions / sustainability, Tracking shipments",Weekly,Rented long-term,Outsourced to 3PL,"Delays at borders, High cost",Basic software (inventory/ERP),4,Yes,Yes,Green packaging,5,Sustainability features,Data security/privacy,"500 – 1,000",Yes
Kuwait,Logistics Provider,1-3,"Less than 100,000",More than 200,"Last-mile delivery costs, Tracking shipments",Daily,On-demand (pay as you go),Outsourced to 3PL,"High cost, Lack of flexibility, Poor visibility/tracking",Basic software (inventory/ERP),1,Planning to,Yes,"Electric vehicles, Green packaging",5,Faster deliveries,"Data security/privacy, Reliability of new provider",Less than 500,Yes
UAE,SME Manufacturer,1-3,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Last-mile delivery costs",Monthly,Own warehouse,Outsourced to 3PL,"Environmental concerns, High cost, Lack of flexibility",Basic software (inventory/ERP),2,Yes,No,Carbon offset options,4,"Faster deliveries, Lower costs","Integration with existing systems, Price transparency","More than 10,000",Yes
Oman,SME Retailer,1-3,"100,000 – 500,000",11–50,"Managing cross-border compliance, Technology adoption",Weekly,Own warehouse,Mix of both,"Environmental concerns, Poor visibility/tracking",Manual (spreadsheets/phone/email),3,No,No,"Carbon offset options, Green packaging",4,Sustainability features,Data security/privacy,"1,001 – 5,000",Yes
Kuwait,E-commerce Brand,4-7,"Less than 100,000",11–50,"Carbon emissions / sustainability, Finding flexible warehouse space",Weekly,Third-party logistics (3PL),Mix of both,"Difficult to scale, High cost, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",4,Yes,Maybe,Green packaging,4,"Faster deliveries, Lower costs","None, Reliability of new provider","500 – 1,000",Maybe
Saudi Arabia,Logistics Provider,4-7,"100,000 – 500,000",1–10,"Finding flexible warehouse space, Managing cross-border compliance",Daily,On-demand (pay as you go),Outsourced to 3PL,High cost,"Automated (IoT, AI-driven, warehouse management systems)",3,No,No,Solar-powered warehouses,1,Faster deliveries,Price transparency,"500 – 1,000",Maybe
Kuwait,E-commerce Brand,Less than 1,"500,001 – 1,000,000",More than 200,"Managing cross-border compliance, Other",Weekly,Rented long-term,In-house,Lack of flexibility,Basic software (inventory/ERP),3,Planning to,Yes,"Electric vehicles, Green packaging",2,"Flexible contract terms, Lower costs",None,"500 – 1,000",No
Kuwait,Logistics Provider,1-3,"Less than 100,000",1–10,"Carbon emissions / sustainability, Last-mile delivery costs",Rarely,Own warehouse,Mix of both,High cost,"Automated (IoT, AI-driven, warehouse management systems)",2,No,Yes,"Electric vehicles, Route optimization for less fuel",2,"Faster deliveries, Lower costs","Data security/privacy, Reliability of new provider",Less than 500,Yes
UAE,E-commerce Brand,1-3,"1,000,001 – 5,000,000",11–50,"Finding flexible warehouse space, Managing cross-border compliance",Weekly,Rented long-term,In-house,"Difficult to scale, Environmental concerns, Lack of flexibility","Automated (IoT, AI-driven, warehouse management systems)",3,Planning to,Yes,"Electric vehicles, Route optimization for less fuel",3,"Flexible contract terms, Lower costs",Data security/privacy,Less than 500,Maybe
UAE,E-commerce Brand,Less than 1,"100,000 – 500,000",11–50,"Finding flexible warehouse space, Other",Daily,Rented long-term,Mix of both,"Difficult to scale, Lack of flexibility, Poor visibility/tracking",Manual (spreadsheets/phone/email),2,No,Maybe,Solar-powered warehouses,2,"Flexible contract terms, Sustainability features","Data security/privacy, Integration with existing systems","5,001 – 10,000",Maybe
Qatar,SME Manufacturer,Less than 1,"100,000 – 500,000",1–10,"Carbon emissions / sustainability, Managing cross-border compliance",Daily,Rented long-term,Mix of both,Lack of flexibility,Basic software (inventory/ERP),2,No,Maybe,"Electric vehicles, Green packaging",3,Faster deliveries,"None, Price transparency","5,001 – 10,000",Yes
UAE,Logistics Provider,4-7,"500,001 – 1,000,000",51–200,"Other, Tracking shipments",Weekly,Own warehouse,Mix of both,"Difficult to scale, High cost, Lack of flexibility",Manual (spreadsheets/phone/email),1,No,No,"Electric vehicles, Green packaging",5,Sustainability features,"Data security/privacy, None","500 – 1,000",No
